day,latitude,longitude,elevation,slope,rainfall,rainfall_lag_1,rainfall_lag_2,temperature,humidity,flood_risk
0,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,37.62031783463747,13.375360430156608,3.4863810858695934,25.930711625753105,67.48516148729247,2
1,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,17.881394396779804,10.828490176285033,1.6384572408799971,23.482186706681688,54.91978248566986,1
2,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,12.956404920402154,14.455037992237159,2.4635835964287223,20.418899220618258,54.10858337382137,1
3,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,41.25186003404812,3.5018856530362537,11.730432346432162,32.49327137708528,69.09698198264479,2
4,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,2.7633362274708424,1.2941008905710116,7.636365027835844,35.49267561275576,82.19521267705653,0
5,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,9.06798753223767,0.4285658730910904,27.65929223802843,35.97428383309149,64.64110183504823,1
6,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,46.92648687260662,9.2100580446948,6.986284016358803,34.96146358859065,90.58848940450687,2
7,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,12.822070688976595,1.3707566198038497,3.303151138524066,38.561672806520995,61.230780592192595,1
8,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,5.585773312952156,5.6576922671873096,4.630052327386664,32.25879164989051,97.15379188723537,1
9,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,3.3041846912902373,1.2954093800495234,1.7598932151509181,37.73849800418539,82.2905406327603,0
10,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,4.04090133454822,16.925311877747205,15.807573913597563,36.93028677380556,95.94632668197772,1
11,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,3.4880948689753852,14.066682208230555,4.937485662816914,36.83997105780123,86.42453385808065,1
12,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,17.977305046387116,10.675841906842091,1.562561580991567,30.900538377938766,99.23348697622541,2
13,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,33.24959265608919,0.4413344611758607,1.4408144092060393,22.63457546909124,86.29899549926478,2
14,28.509999999999998,77.10000000000001,312.45401188473625,3.11829382719041,20.430837368350154,2.4017700835005287,5.639372910716232,36.814060560224,86.64007723831253,2
0,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,9.37684973944554,8.924465045700323,5.680077200547248,25.950969026376413,78.2510996429508,1
1,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,14.01112357316175,20.661140751074527,8.091217238998835,35.22243074086316,58.003581747728646,2
2,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,7.428894223996512,0.09375432164456157,2.266109338862935,34.52923430226009,99.59049756746816,0
3,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,1.2533725165331133,5.133192567214193,12.878342551213986,24.080712692577976,77.7542474651143,0
4,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,15.849284190817627,9.570748371647657,1.6662832050676004,27.107691373714786,89.18958922426987,2
5,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,9.695332022354117,0.05243335834244976,11.45002453462099,20.70622709880478,87.2866891365616,1
6,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,2.714988823822466,31.718367195597857,3.670177130316827,26.538632326761583,57.44440251662223,2
7,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,4.376558236186287,20.92735612176639,44.86996984567245,27.366190610136968,72.43053154772713,2
8,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,15.364672454938916,21.73275679463014,7.192408229428934,27.830513963556587,70.63109204243119,2
9,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,14.273667225070131,0.03223453352234625,7.732031351140682,27.109860208827147,89.7098665638542,1
10,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,1.1712301078782725,8.872229893778368,5.246393295148891,32.84651051810455,53.24267972414842,0
11,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,10.409543605057731,8.243603206028805,6.579855144805472,32.06975333192909,83.82339686131812,1
12,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,19.616391721391913,3.144651861262493,13.946013510489848,29.96511364526907,53.852913956716556,1
13,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,0.7240203129006912,4.0682350836025485,12.293105515176066,34.15361869481831,89.43074823362032,0
14,28.509999999999998,77.10689655172415,367.5714306409916,0.39798305810729573,8.739549998582257,5.801739118979032,1.2762110738150627,26.56385507218623,71.70096830869376,1
0,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,1.1132864592307408,2.49246221980613,7.2949102436700874,34.713262284783795,99.91737556964748,0
1,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,32.457067252851786,10.288023098028724,4.375050479588782,32.72354729416465,89.2825809040116,2
2,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,1.5113335738324083,5.274715511697289,14.650772094704244,27.67665903866088,78.59361356135932,0
3,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,10.634067390380867,2.039247379503509,3.5982887563914434,26.690225774838645,51.30983542660324,0
4,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,0.2938702952463638,17.819896121391395,2.5514096514402804,30.36157532477631,64.93627867943866,1
5,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,33.89755243390228,3.001552182005943,4.492136131348723,37.45460500969204,92.09667833959043,2
6,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,2.4710341522867436,16.227425772487937,4.9026731718596395,29.659377441707104,56.67399862079719,1
7,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,1.0084277048798804,13.017301014514391,5.4887553167748,28.737014052303593,86.47541143261984,1
8,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,17.404256387608623,1.7305443076039948,7.537488103334776,22.70708164555371,87.56875430145229,1
9,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,12.838729207391328,31.376327859603244,0.5716072600682582,21.141094423025088,64.10935373466,2
10,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,3.640952776276598,2.8366189629572727,18.937379793730475,24.990923996990123,63.59748630643155,1
11,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,17.095347043165933,5.973640988650571,11.994291186067677,21.307323151287704,74.37855968366921,1
12,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,0.41029829925539796,0.6470195151063192,18.953000945163872,22.784907422351903,76.62103411376086,0
13,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,6.353897063022736,4.267040555945366,18.407359496070615,20.43646793550979,83.18948430877946,1
14,28.509999999999998,77.11379310344829,343.1993941811405,2.7215315263469595,39.6906597536204,8.21362860280852,22.094451623352953,21.045157585720474,70.93966595370807,2
